Date, Close/Last, Volume, Open, High, Low,
7/13/2020,3104.00,7720420.00,3251.06,3344.29,3068.39,
7/10/2020,3200.00,5485982.00,3191.76,3215.00,3135.70,
7/9/2020,3182.63,6388659.00,3115.99,3193.88,3074.00,
7/8/2020,3081.11,5037635.00,3022.61,3083.97,3012.43,
7/7/2020,3000.12,5257514.00,3058.55,3069.55,2990.00,
7/6/2020,3057.04,6880642.00,2934.97,3059.88,2930.00,
7/2/2020,2890.30,6593387.00,2912.01,2955.56,2871.10,
7/1/2020,2878.70,6363439.00,2757.99,2895.00,2754.00,
6/30/2020,2758.82,3769686.00,2685.07,2769.63,2675.03,
6/29/2020,2680.38,4223422.00,2690.01,2696.80,2630.08,
6/26/2020,2692.87,6500784.00,2775.06,2782.57,2688.00,
6/25/2020,2754.58,2968657.00,2739.55,2756.23,2712.14,
6/24/2020,2734.40,4526605.00,2780.00,2796.00,2721.00,
6/23/2020,2764.41,4231707.00,2726.02,2783.11,2718.04,
6/22/2020,2713.82,3208780.00,2684.50,2715.00,2669.00,
6/19/2020,2675.01,5776963.00,2678.08,2697.43,2659.00,
6/18/2020,2653.98,2487774.00,2647.01,2659.64,2636.11,
6/17/2020,2640.98,2959316.00,2647.50,2655.00,2631.82,
6/16/2020,2615.27,3595649.00,2620.00,2620.00,2576.00,
6/15/2020,2572.68,3873335.00,2526.60,2584.00,2508.00,
6/12/2020,2545.02,5436127.00,2601.21,2621.48,2503.35,
6/11/2020,2557.96,5800107.00,2603.50,2671.38,2536.23,
6/10/2020,2647.45,4946031.00,2645.00,2722.35,2626.26,
6/9/2020,2600.86,5175950.00,2529.44,2626.43,2525.00,
6/8/2020,2524.06,3970654.00,2500.20,2530.00,2487.34,
6/5/2020,2483.00,3306445.00,2444.51,2488.65,2437.13,
6/4/2020,2460.60,2948710.00,2477.43,2507.54,2450.01,
6/3/2020,2478.40,2671024.00,2468.01,2488.00,2461.17,
6/2/2020,2472.41,2529903.00,2467.00,2473.53,2445.31,
6/1/2020,2471.04,2938032.00,2448.00,2476.93,2444.17,
5/29/2020,2442.37,3529329.00,2415.94,2442.37,2398.20,
5/28/2020,2401.10,3193136.00,2384.33,2436.97,2378.23,
5/27/2020,2410.39,5056945.00,2404.99,2413.58,2330.00,
5/26/2020,2421.86,3568153.00,2458.00,2462.00,2414.06,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
